nameShort,latitude,longitude,empire,nameLong,Udtpg
Bohemia,50.0850736,14.4328744,Austrian - German Conf.,Bohemia - Czech Republic,001
Cracow,50.0646501,19.9449799,Austrian - German Conf.,Kraków - Poland,001
Moravia,49.5,17,Austrian - German Conf.,Moravia - Czech Republic,001
Silesia Austrian,49.933333,17.9,Austrian - German Conf.,Opava - Czech Republic,001
Pergu,48.24992,14.63474,Austrian - German Conf.,Perg - Austria,001
Prague,50.0755381,14.4378005,Austrian - German Conf.,Prague - Czech Republic,001
Tyrol,47.2537414,11.601487,Austrian - German Conf.,Tyrol - Austria,001
Unterwalden,46.77618,12.42515,Austrian - German Conf.,Unterwalden - Austria,001
Vienna,48.2081743,16.3738189,Austrian - German Conf.,Vienna - Austria,001
Belluno,46.1424635,12.2167088,Austrian - Venetian,Belluno -  Italy,001
Bergamo,45.6982642,9.6772698,Austrian - Venetian,Bergamo - Italy,001
Brescia,45.5415526,10.2118019,Austrian - Venetian,Brescia - Italy,001
Cremona,45.133249,10.0226511,Austrian - Venetian,Cremona - Italy,001
Ferrara,44.8381237,11.619787,Austrian - Venetian,Ferrara - Italy,001
Lodi,45.3097228,9.503716,Austrian - Venetian,Lodi - Italy,001
Mantua,45.1564168,10.7913751,Austrian - Venetian,Mantua - Italy,001
Milan,45.4654219,9.1859243,Austrian - Venetian,Milan - Italy,001
Padua,45.4064349,11.8767611,Austrian - Venetian,Padua - Italy,001
Rovigo,45.0698118,11.7902158,Austrian - Venetian,Rovigo - Italy,001
Trent,46.0747793,11.1217486,Austrian - Venetian,Trento - Italy,001
Treviso,45.6668893,12.2430437,Austrian - Venetian,Treviso - Italy,001
Trieste,45.6495264,13.7768182,Austrian - Venetian,Trieste - Italy,001
Venice,45.4408474,12.3155151,Austrian - Venetian,Venice - Italy,001
Verona,45.4383842,10.9916215,Austrian - Venetian,Verona - Italy,001
Vicenza,45.5454787,11.5354214,Austrian - Venetian,Vicenza - Italy,001
Baden,52.9983423,9.081264,Baden - German Conf.,Baden - Germany,001
Carlsruhe,49.0068901,8.4036527,Baden - German Conf.,Carlsruhe - Germany,001
Friburg,47.9990077,7.8421043,Baden - German Conf.,Freiburg - Germany,001
Mannheim,49.488889,8.469167,Baden - German Conf.,Mannheim - Germany,001
Augsburg,48.3705449,10.89779,Bavaria - German Conf.,Augsburg - Germany,001
Bamberg,49.8988135,10.9027636,Bavaria - German Conf.,Bamberg - Germany,001
Bavaria,48.7775,11.431111,Bavaria - German Conf.,Bavaria - Germany,001
Rhenish Bavaria,49.433333,7.766667,Bavaria - German Conf.,Bavaria - Germany,001
Munich,48.1351253,11.5819806,Bavaria - German Conf.,Munich - Germany,001
Nurnberg,49.45203,11.07675,Bavaria - German Conf.,Nuremberg - Germany,001
Ratisbon,49.016667,12.083333,Bavaria - German Conf.,Regensburg - Germany,001
Wurzburg,49.7913044,9.9533548,Bavaria - German Conf.,Würzburg - Germany,001
